Mota;Galdera;Irudia;Zuzena;Oker1;Oker2;Jatorria;Esteka;Egilea;
Distantziak;Zein da Leioa eta Burgu herrien arteko distantzia zuzena?;;72;49;80;;;Josu Loidi;
Distantziak;Zein da Itsasu eta Bermeo herrien arteko distantzia zuzena?;;146;117;163;;;Josu Loidi;
Distantziak;Zein da Olexoa eta Oltza zendea herrien arteko distantzia zuzena?;;48;41;66;;;Josu Loidi;
Distantziak;Zein da Oiartzun eta Aiara herrien arteko distantzia zuzena?;;137;120;148;;;Josu Loidi;
Distantziak;Zein da Legorreta eta Arama herrien arteko distantzia zuzena?;;3;4;2;;;Josu Loidi;
Distantziak;Zein da Banka eta Zuñiga herrien arteko distantzia zuzena?;;113;99;123;;;Josu Loidi;
Distantziak;Zein da Bedia eta Arberatze-Zilhekoa herrien arteko distantzia zuzena?;;202;197;267;;;Josu Loidi;
Distantziak;Zein da Uhartehiri eta Amorotze-Zokotze herrien arteko distantzia zuzena?;;14;8;14;;;Josu Loidi;
Distantziak;Zein da Aribe eta Milafranga herrien arteko distantzia zuzena?;;59;39;65;;;Josu Loidi;
Distantziak;Zein da Bilbo eta Cortes herrien arteko distantzia zuzena?;;226;121;262;;;Josu Loidi;
Distantziak;Zein da Sartze eta Erriberri herrien arteko distantzia zuzena?;;73;104;96;;;Josu Loidi;
Distantziak;Zein da Añana eta Beire herrien arteko distantzia zuzena?;;156;170;229;;;Josu Loidi;
Distantziak;Zein da Xabier eta Olatzagutia herrien arteko distantzia zuzena?;;114;137;153;;;Josu Loidi;
Distantziak;Zein da Larzabale-Arroze-Zibitze eta Ahatsa-Altzieta-Bazkazane herrien arteko distantzia zuzena?;;12;13;10;;;Josu Loidi;
Distantziak;Zein da Etxebarre eta Leatxe herrien arteko distantzia zuzena?;;78;54;57;;;Josu Loidi;
Distantziak;Zein da Elo eta Deikaztelu herrien arteko distantzia zuzena?;;59;83;38;;;Josu Loidi;
Distantziak;Zein da Bermeo eta Gotaine-Irabarne herrien arteko distantzia zuzena?;;203;285;112;;;Josu Loidi;
Distantziak;Zein da Erronkari eta Donapaleu herrien arteko distantzia zuzena?;;59;65;75;;;Josu Loidi;
Distantziak;Zein da Esprontzeda eta Deba herrien arteko distantzia zuzena?;;78;98;47;;;Josu Loidi;
Distantziak;Zein da Ibargoiti eta Legazpi herrien arteko distantzia zuzena?;;105;98;69;;;Josu Loidi;
Distantziak;Zein da Ollaran eta Itsasu herrien arteko distantzia zuzena?;;71;103;105;;;Josu Loidi;
Distantziak;Zein da Mungia eta Goñerri herrien arteko distantzia zuzena?;;123;66;96;;;Josu Loidi;
Distantziak;Zein da Sorlada eta Zalduondo herrien arteko distantzia zuzena?;;33;26;23;;;Josu Loidi;
Distantziak;Zein da Kripan eta Guardia herrien arteko distantzia zuzena?;;9;13;6;;;Josu Loidi;
Distantziak;Zein da Azkoitia eta Getxo herrien arteko distantzia zuzena?;;79;105;93;;;Josu Loidi;
Distantziak;Zein da Urduliz eta Irisarri herrien arteko distantzia zuzena?;;190;235;234;;;Josu Loidi;
Distantziak;Zein da Arrueta-Sarrikota eta Azkarate (Nafarroa Beherea) herrien arteko distantzia zuzena?;;30;18;17;;;Josu Loidi;
Distantziak;Zein da Ziortza-Bolibar eta Gares herrien arteko distantzia zuzena?;;104;109;84;;;Josu Loidi;
Distantziak;Zein da Gixune eta Elgorriaga herrien arteko distantzia zuzena?;;68;74;50;;;Josu Loidi;
Distantziak;Zein da Mutiloa (Gipuzkoa) eta Beriain herrien arteko distantzia zuzena?;;77;101;57;;;Josu Loidi;
Distantziak;Zein da Harana (Araba) eta Urkabustaiz herrien arteko distantzia zuzena?;;68;62;35;;;Josu Loidi;
Distantziak;Zein da Arrigorriaga eta Cabredo herrien arteko distantzia zuzena?;;83;122;84;;;Josu Loidi;
Distantziak;Zein da Aduna eta Urizaharra herrien arteko distantzia zuzena?;;96;93;74;;;Josu Loidi;
Distantziak;Zein da Akamarre eta Bilar herrien arteko distantzia zuzena?;;188;97;176;;;Josu Loidi;
Distantziak;Zein da Bakio eta Txulapain herrien arteko distantzia zuzena?;;139;172;73;;;Josu Loidi;
Distantziak;Zein da Jaurrieta eta Cintruénigo herrien arteko distantzia zuzena?;;117;156;61;;;Josu Loidi;
Distantziak;Zein da Morentin eta Belauntza herrien arteko distantzia zuzena?;;58;67;30;;;Josu Loidi;
Distantziak;Zein da Beasain eta Aizarnazabal herrien arteko distantzia zuzena?;;23;28;22;;;Josu Loidi;
Distantziak;Zein da Gabadi eta Urraulgoiti herrien arteko distantzia zuzena?;;72;50;37;;;Josu Loidi;
Distantziak;Zein da Lekorne eta Aulesti herrien arteko distantzia zuzena?;;140;82;70;;;Josu Loidi;
Distantziak;Zein da Ürrüstoi-Larrabile eta Valtierra herrien arteko distantzia zuzena?;;150;114;180;;;Josu Loidi;
Distantziak;Zein da Samatze eta Lasarte-Oria herrien arteko distantzia zuzena?;;100;142;89;;;Josu Loidi;
Distantziak;Zein da Oragarre eta Baigorri herrien arteko distantzia zuzena?;;34;33;23;;;Josu Loidi;
Distantziak;Zein da Muxika eta Amurrio herrien arteko distantzia zuzena?;;43;53;53;;;Josu Loidi;
Distantziak;Zein da Uharte Arakil eta Itzaltzu herrien arteko distantzia zuzena?;;101;150;124;;;Josu Loidi;
Distantziak;Zein da Santurtzi eta Altzo herrien arteko distantzia zuzena?;;108;67;151;;;Josu Loidi;
Distantziak;Zein da Aia eta Elantxobe herrien arteko distantzia zuzena?;;57;78;68;;;Josu Loidi;
Distantziak;Zein da Mitikile-Larrori-Mendibile eta Mendaza herrien arteko distantzia zuzena?;;168;236;206;;;Josu Loidi;
Distantziak;Zein da Jutsi eta Monteagudo herrien arteko distantzia zuzena?;;159;95;82;;;Josu Loidi;
Distantziak;Zein da Aria eta Ahurti herrien arteko distantzia zuzena?;;60;66;88;;;Josu Loidi;
Distantziak;Zein da Ekora eta Berbintzana herrien arteko distantzia zuzena?;;71;84;83;;;Josu Loidi;
Distantziak;Zein da Iurreta eta Mungia herrien arteko distantzia zuzena?;;31;26;33;;;Josu Loidi;
Distantziak;Zein da Ozaraine-Erribareita eta Aduna herrien arteko distantzia zuzena?;;123;100;116;;;Josu Loidi;
Distantziak;Zein da Zaratamo eta Arama herrien arteko distantzia zuzena?;;80;61;46;;;Josu Loidi;
Distantziak;Zein da Berbintzana eta Garinoain herrien arteko distantzia zuzena?;;22;18;19;;;Josu Loidi;
Distantziak;Zein da Olatzagutia eta Ilharre herrien arteko distantzia zuzena?;;140;201;130;;;Josu Loidi;
Distantziak;Zein da Biarritz eta Baztan herrien arteko distantzia zuzena?;;36;26;47;;;Josu Loidi;
Distantziak;Zein da Ablitas eta Hendaia herrien arteko distantzia zuzena?;;155;94;100;;;Josu Loidi;
Distantziak;Zein da Orbaizeta eta Jatsu (Garazi) herrien arteko distantzia zuzena?;;22;18;15;;;Josu Loidi;
Distantziak;Zein da Zamudio eta Bera herrien arteko distantzia zuzena?;;130;141;176;;;Josu Loidi;
Distantziak;Zein da Zaldibar eta Arrueta-Sarrikota herrien arteko distantzia zuzena?;;161;84;157;;;Josu Loidi;
Distantziak;Zein da Torralba del Río eta Zierbena herrien arteko distantzia zuzena?;;117;163;60;;;Josu Loidi;
Distantziak;Zein da Galdakao eta Arüe-Ithorrotze-Olhaibi herrien arteko distantzia zuzena?;;213;304;139;;;Josu Loidi;
Distantziak;Zein da Aloze-Ziboze-Onizegaine eta Zuia herrien arteko distantzia zuzena?;;217;252;259;;;Josu Loidi;
Distantziak;Zein da Hernani eta Lazkao herrien arteko distantzia zuzena?;;35;46;45;;;Josu Loidi;
Distantziak;Zein da Artazu eta Ziritza herrien arteko distantzia zuzena?;;11;6;16;;;Josu Loidi;
Distantziak;Zein da Girgillao eta Zuia herrien arteko distantzia zuzena?;;111;68;143;;;Josu Loidi;
Distantziak;Zein da Ultzama eta Igantzi herrien arteko distantzia zuzena?;;25;36;35;;;Josu Loidi;
Distantziak;Zein da Otsagabia eta Arratzu herrien arteko distantzia zuzena?;;176;171;180;;;Josu Loidi;
Distantziak;Zein da Ukar eta Sorlada herrien arteko distantzia zuzena?;;57;31;55;;;Josu Loidi;
Distantziak;Zein da Maule-Lextarre eta Zuñiga herrien arteko distantzia zuzena?;;167;196;126;;;Josu Loidi;
Distantziak;Zein da Arrueta-Sarrikota eta Etxarri (Zuberoa) herrien arteko distantzia zuzena?;;21;20;20;;;Josu Loidi;
Distantziak;Zein da Amurrio eta Irurtzun herrien arteko distantzia zuzena?;;130;153;173;;;Josu Loidi;
Distantziak;Zein da Ajangiz eta Pagola herrien arteko distantzia zuzena?;;186;245;250;;;Josu Loidi;
Distantziak;Zein da Iturmendi eta Cadreita herrien arteko distantzia zuzena?;;89;97;113;;;Josu Loidi;
Distantziak;Zein da Obanos eta Esa herrien arteko distantzia zuzena?;;65;39;54;;;Josu Loidi;
Distantziak;Zein da Eskoriatza eta Jatabe herrien arteko distantzia zuzena?;;57;85;32;;;Josu Loidi;
Distantziak;Zein da Mehaine eta Galipentzu herrien arteko distantzia zuzena?;;93;123;64;;;Josu Loidi;
Distantziak;Zein da Abaurrepea eta Faltzes herrien arteko distantzia zuzena?;;87;102;53;;;Josu Loidi;
Distantziak;Zein da Lerin eta Funes herrien arteko distantzia zuzena?;;27;23;32;;;Josu Loidi;
Distantziak;Zein da Ziortza-Bolibar eta Artzentales herrien arteko distantzia zuzena?;;74;108;82;;;Josu Loidi;
Distantziak;Zein da Deba eta Marañón herrien arteko distantzia zuzena?;;76;94;107;;;Josu Loidi;
Distantziak;Zein da Garrüze eta Orreaga herrien arteko distantzia zuzena?;;47;35;25;;;Josu Loidi;
Distantziak;Zein da Oltza zendea eta Bidaurreta herrien arteko distantzia zuzena?;;10;11;10;;;Josu Loidi;
Distantziak;Zein da Heleta eta Alesbes herrien arteko distantzia zuzena?;;127;152;168;;;Josu Loidi;
Distantziak;Zein da Aintzila eta Zugarramurdi herrien arteko distantzia zuzena?;;41;21;56;;;Josu Loidi;
Distantziak;Zein da Ostankoa eta Iruña (udalerri ohia) herrien arteko distantzia zuzena?;;197;259;101;;;Josu Loidi;
Distantziak;Zein da Atarrabia eta Nazar herrien arteko distantzia zuzena?;;77;53;43;;;Josu Loidi;
Distantziak;Zein da Plentzia eta Martxueta herrien arteko distantzia zuzena?;;205;176;274;;;Josu Loidi;
Distantziak;Zein da Markina-Xemein eta Agurain herrien arteko distantzia zuzena?;;48;41;63;;;Josu Loidi;
Distantziak;Zein da Bidaurreta eta Abaurregaina herrien arteko distantzia zuzena?;;71;40;49;;;Josu Loidi;
Distantziak;Zein da Lukin eta Basauri herrien arteko distantzia zuzena?;;112;147;92;;;Josu Loidi;
Distantziak;Zein da Bidarrai eta Arboti-Zohota herrien arteko distantzia zuzena?;;40;52;34;;;Josu Loidi;
Distantziak;Zein da Errezil eta Izpura herrien arteko distantzia zuzena?;;104;103;95;;;Josu Loidi;
Distantziak;Zein da Gatika eta Ezkurra herrien arteko distantzia zuzena?;;116;174;141;;;Josu Loidi;
Distantziak;Zein da Labaien eta Milagro herrien arteko distantzia zuzena?;;94;77;109;;;Josu Loidi;
Distantziak;Zein da Berantevilla eta Beskoitze herrien arteko distantzia zuzena?;;190;194;284;;;Josu Loidi;
Distantziak;Zein da Behorlegi eta Ziritza herrien arteko distantzia zuzena?;;87;52;55;;;Josu Loidi;
Distantziak;Zein da Ekora eta Burgu herrien arteko distantzia zuzena?;;32;31;28;;;Josu Loidi;
Distantziak;Zein da Zare eta Berriozar herrien arteko distantzia zuzena?;;41;60;29;;;Josu Loidi;
